"rules","support","confidence","coverage","lift","count"
"{Sexo=Mujer,Edad=[26,34),Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.0595005899491921,0.636199794026777,0.0935250066218787,2.09240051050432,2471
"{Edad=[26,34),Sector=Privado,Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=25 a 29}",0.0587300440655927,0.634330299089727,0.0925859038262419,2.08625191976695,2439
"{Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.17048327674637,0.628997867803838,0.271039514556093,2.06871406129925,7080
"{Departamento=Guatemala,Sexo=Mujer,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.0647980928989381,0.791005291005291,0.0819186592501625,2.06653615564662,2691
"{Departamento=Guatemala,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.109248958559079,0.788494960027807,0.138553781694719,2.05997780542242,4537
"{Sexo=Mujer,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.144429194057165,0.625900031305437,0.230754412579162,2.0585255721932,5998
"{Sexo=Hombre,Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.0917190397071926,0.786171310629515,0.116665462688724,2.05390716904461,3809
"{Edad=[26,34),Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.0962941558910641,0.620192307692308,0.155264995545282,2.03975341301606,3999
"{Departamento=Guatemala,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.0749837462977678,0.617367168913561,0.121457294902357,2.03046180072949,3114
"{Grupos_Quinquenales=25 a 29} => {Edad=[26,34)}",0.236148233764357,0.776669042527916,0.304052589756556,2.02908207518507,9807
"{Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.236148233764357,0.616947659788626,0.382768667678008,2.02908207518507,9807
"{Sexo=Hombre,Grupos_Quinquenales=25 a 29,Sector=Privado} => {Edad=[26,34)}",0.0665559006958993,0.776622646810902,0.0856991499915722,2.02896086433128,2764
